CatalogueNumber,CatalogueNumber,
WBUpload,WBUpload
UploadFileName,UploadRef,
PrepType,PrepType,
PrepQuantity,PrepQuantity,
insid,OtherInstitution,2012-04-06,'01/04/2012
accid,OtherCatalogueNo,
supfam,supfam,
fam,fam,
supgenrk,supgenrk,
supgen,supgen,
hyb,hyb,
gen,Genus,
genhy2,genhy2,
subgen,subgen,
spql,spql,
sp,Species,
sphy2,sphy2,
spau,spau,
isprk,isprk,
isprkhy2,isprkhy2,
isp,isp,
Subspecies,Subspecies,
Variety,Variety,
Forma,Forma,
isphy2,isphy2,
ispau,ispau,
isp2rk,isp2rk,
isp2rkhy2,isp2rkhy2,
isp2,isp2,
isp2hy2,isp2hy2,
isp2au,isp2au,
vernam,vernam,
culgnam,culgnam,
culnam,culnam,
tranam,tranam,
fulnam,fulnam,
namcom,DetNotes,
tql,tql,
tsta,tsta,
basnam,basnam,
tql2,tql2,
tsta2,tsta2,
basnam2,basnam2,
tql3,tql3,
tsta3,tsta3,
basnam3,basnam3,
vlev,vlev,
vnam,vnam,
DeterminerLastName,DeterminerLastName,
DeterminerFirstName,DeterminerInitials,
vdat,vdat,
DeterminationDate,DeterminationDate,
textvdat,textvdat,
vlit,vlit,
vhist,vhist,
det,det,Change 'det.' to 'Det.' and 'conf.' to 'Conf.'; change everything else to 'Det.',
DetType,DetType,
rkql,rkql,
QualifierRank,QualifierRank,
idql,idql,
Qualifier,Qualifier,
namcom_2,namcom_2,
cou,Country,
iso,iso,
wgs,wgs,
pru,State,"Convert 'NSW' to 'New South Wales'; 'Vic.' to Victoria, etc. ",
sru,sru,
sgu,sgu,
loc,Locality,
LocalityUniquefier,LocalityUniquifier,
alt,MinAltitude,
AltitudeUnit,Unit,
AltitudeUncertainty,AltitudeUncertainty,
altacy,altacy,Add ' m' at end of string.,
altx,altx,
altacyx,altacyx,
altsou,altsou,
altdet,AltitudeMethod,
dep,dep,
depacy,depacy,
depx,depx,
depacyx,depacyx,
LatitudeText,Latitude,
LongitudeText,Longitude,
latdeg,latdeg,
latmin,latmin,
latsec,latsec,
latdir,latdir,
londeg,londeg,
lonmin,lonmin,
lonsec,lonsec,
londir,londir,
spadat,Datum,
sgp,sgp,
sge,sge,
sgn,sgn,
geoacy,geoacy,
GeocodeUncertainty,Uncertainty,
geosou,geosou,
GeocodeSource,Source,
nnp,nnp,
hab,hab,
Habitat,Habitat,
top,top,
asp,asp,
sub,sub,
soil,soil,
veg,veg,
asspp,AssocTaxa,
cnam,cnam,
cnam2,cnam2,
Collector1LastName,CollectorLastName1,
Collector1FirstName,CollectorFirstName1,
collector1IsPrimary, collectorIsPrimary1,
Collector2LastName,CollectorLastName2,
Collector2FirstName,CollectorFirstName2,
collector2IsPrimary, collectorIsPrimary2,
Collector3LastName,CollectorLastName3,
Collector3FirstName,CollectorFirstName3,
collector3IsPrimary, collectorIsPrimary3,
Collector4LastName,CollectorLastName4,
Collector4FirstName,CollectorFirstName4,
collector4IsPrimary, collectorIsPrimary4,
Collector5LastName,CollectorLastName5,
Collector5FirstName,CollectorFirstName5,
collector5IsPrimary, collectorIsPrimary5,
Collector6LastName,CollectorLastName6,
Collector6FirstName,CollectorFirstName6,
collector6IsPrimary, collectorIsPrimary6,
Collector7LastName,CollectorLastName7,
Collector7FirstName,CollectorFirstName7,
collector7IsPrimary,collectorIsPrimary7,
cid,CollNo,Make sure Excel treats this as a string,
cper,cper,
cdat,cdat,
CollectingDate,CollectingDate,
cdat2,cdat2,
texcdat,texcdat,
cnot,DescriptiveNotes,
ckin,ckin,
vou,vou,
numshe,numshe,
tcul,tcul,
prot,prot,
prohis,prohis,
dont,dont,
don,don,
donacc,donacc,
CollectingNotes,CollectingNotes
fre,fre,
consta,consta,
posnat,posnat,
IntroducedStatus,IntroducedStatus,
poscul,poscul,
CultivatedStatus,CultivatedStatus,
posint,posint,
form,form,
phe,phe,
Flowers,Flowers,bisexual flowers; female flowers; female cones; flowers; male/female cones; male cones,
Fruit,Fruit,fruit; fruiting cones,
Buds,Buds,buds,
Fertile,Fertile,fertile,
Sterile,Sterile,sterile,
Leafless,Leafless,leafless,
noncom,noncom,
misc,misc,
numrep,numrep,
desrep,desrep,Explode string into array; remove 'MEL'; order alphabetically; implode,
OtherDuplicates, OtherDuplicates,
loaid,loaid,
loanum,loanum,
loades,loades,
loabot,loabot,
loadis,loadis,
loadat,loadat,
loaret,loaret,
crenam,crenam,
credat,credat,
creins,creins,
modnam,modnam,
moddat,moddat,
modins,modins,